DLGFile,TotalLines,SpeakerCount,TopSpeakers,StrRefMin,StrRefMax,HasLegacyLines
AERIE25J.DLG,51,1,Aerie25J (51),65913,92229,No
BDACT06.DLG,51,1,Bdact06 (51),40998,42117,No
KAMIR.DLG,51,1,Kamir (51),26575,26750,No
MURDGIRL.DLG,51,1,Murdgirl (51),26111,31088,No
SARTEM01.DLG,51,1,Sartem01 (51),64158,73499,No
GAYLAN.DLG,50,2,Gaelan (49); Gaylan (1),20855,20925,No
JAYLOS.DLG,50,1,Jaylos (50),34959,35042,No
KAYPAL02.DLG,50,1,Kaypal02 (50),31725,62149,No
MERCHANT.DLG,50,2,Fatman (30); Merchant (20),26080,61158,No
OHNAMANI.DLG,50,1,Ohnamani (50),87882,93504,Yes
TRPLE01.DLG,50,1,Trple01 (50),47249,47304,No
OHHHAFIZ.DLG,49,1,Ohhhafiz (49),84086,84251,Yes
PLMETR01.DLG,49,1,Plmetr01 (49),37594,62167,No
PPSAEM2.DLG,49,1,Ppsaem2 (49),43873,45558,No
SAHPR2.DLG,49,1,Sahpr2 (49),46583,46736,No
SHAAVA01.DLG,49,1,Shaava01 (49),42188,43829,No
SURLY.DLG,49,2,Surly (48); Priobg (1),15363,24460,No
TRFUED01.DLG,49,1,Trfued01 (49),43704,47102,No
CALAHA.DLG,48,1,Calaha (48),48166,48237,No
DOUG.DLG,48,1,Doug (48),24058,61222,No
GERHAR.DLG,48,2,Gerhar (42); Charmc (6),1986,34527,No
IMOEN2.DLG,48,1,Imoen2 (48),49239,49549,No
OHRBSSM1.DLG,48,1,Ohrbssm1 (48),79104,95144,No
OHRSAHAN.DLG,48,1,Ohrsahan (48),78457,78820,Yes
SALVANAS.DLG,48,2,Salvanas (47); Forthe (1),14717,98422,No
SARVIE01.DLG,48,1,Sarvie01 (48),65855,73263,No
TEMSUP.DLG,48,1,Temsup (48),24345,61212,No
TRFUED05.DLG,48,1,Trfued05 (48),43741,47103,No
BDACT04.DLG,47,1,Bdact04 (47),40983,42113,No
IMOEN25J.DLG,47,1,Imoen25J (47),64547,92228,No
OHBLEA.DLG,47,2,Ohblea (46); Ohbgezzt (1),91715,100626,Yes
TANNER.DLG,47,1,Tanner (47),26110,26399,No
UHKID01.DLG,47,1,Uhkid01 (47),33392,33539,No
WISH.DLG,47,1,Wish (47),58535,58584,No
ANOMENP.DLG,46,1,Anomenp (46),23432,62138,No
DMARK1.DLG,46,1,Dmark1 (46),22398,45723,No
DRUSH.DLG,46,1,Drush (46),28866,48845,No
FAMIL3.DLG,46,1,Famil3 (46),58356,59813,No
JAN2.DLG,46,2,Jan2 (31); Blushc (15),2037,2115,No
NALIAP.DLG,46,2,Naliap (44); Baresh (2),23428,60951,No
OHRGELD.DLG,46,1,Ohrgeld (46),81610,86669,No
CROTHF01.DLG,45,1,Crothf01 (45),45378,45468,No
DORN25A.DLG,45,1,Dorn25A (45),3477,91840,Yes
FAMIL325.DLG,45,1,Famil325 (45),72585,73445,No
IDJINNI.DLG,45,6,Idjinni (39); Ftowbe (2); Fafight (1); Ajanti (1); Doomsay (1),10867,44816,No
KORGANA.DLG,45,1,Korgana (45),2392,58697,No
OHNGHALL.DLG,45,1,Ohnghall (45),93161,102527,Yes
OHRBMM.DLG,45,1,Ohrbmm (45),79914,80810,Yes
PACE.DLG,45,3,Pace (37); Grael (5); Mirror (3),23295,42550,No
RUFFIAN.DLG,45,2,Ruffian (43); Monken (2),16213,61240,No
BERRUN.DLG,44,1,Berrun (44),751,19682,No
CLTIVA01.DLG,44,1,Cltiva01 (44),35713,35930,No
DSHOP01.DLG,44,1,Dshop01 (44),22407,45781,No
FINSOL01.DLG,44,1,Finsol01 (44),67810,68097,No
GARKID01.DLG,44,1,Garkid01 (44),34079,40645,No
GENIE1.DLG,44,3,Genie1 (38); Faldop (4); Ardrou (2),15469,15516,No
GORLUM.DLG,44,1,Gorlum (44),63100,72544,No
MALKAL.DLG,44,5,Bkorgan (17); Korgana (15); Malkal (10); Bhaerda (1); Bjaheir (1),2471,2514,No
MRSHADE.DLG,44,3,Aataqah (22); Bkeldor (17); Mrshade (5),11508,11565,No
UDSVIR08.DLG,44,1,Udsvir08 (44),51548,51614,No
25SPELL.DLG,43,1,25Spell (43),70769,73410,No
AMCLER02.DLG,43,1,Amcler02 (43),70349,73970,No
CEDERIL.DLG,43,2,Cederil (42); Bounty (1),8709,61109,No
CEFALDOR.DLG,43,1,Cefaldor (43),8214,50859,No
GARKID02.DLG,43,1,Garkid02 (43),34080,40650,No
HELLGREE.DLG,43,1,Hellgree (43),54857,55054,No
IGOLEM1.DLG,43,4,Igolem1 (21); Caedmo (16); Amaran (5); Fcook2 (1),10641,18244,No
OHBIMIM.DLG,43,2,Ohbimim (42); Ohbgezzt (1),91943,100779,Yes
OHHMIRRI.DLG,43,1,Ohhmirri (43),83946,84055,Yes
PROPHET1.DLG,43,4,Prophet1 (38); Narrat2 (2); Dean (2); Malkal (1),1345,36750,No
UDDEMON.DLG,43,1,Uddemon (43),52128,55919,No
VICONI.DLG,43,6,Viconi (34); Prost3 (3); Nila (3); Noblay (1); Prost2 (1),8229,58670,No
BIMOEN2.DLG,42,1,Bimoen2 (42),88596,102047,No
BUNKIN.DLG,42,1,Bunkin (42),24104,61233,No
C6CORAN.DLG,42,1,C6Coran (42),53546,53659,No
FATESP.DLG,42,1,Fatesp (42),64947,91784,No
LENORE.DLG,42,9,Bminsc (12); Bkorgan (12); Baerie (5); Bkeldor (5); Lenore (4),3182,8969,Yes
OHNKING.DLG,42,1,Ohnking (42),88099,93537,Yes
OHNRWBOU.DLG,42,1,Ohnrwbou (42),88970,102530,No
OHRGHELL.DLG,42,1,Ohrghell (42),78476,86724,Yes
OHRTHEYE.DLG,42,1,Ohrtheye (42),84889,84932,No
RASAADP.DLG,42,3,Rasaa25J (22); Rasaadp (19); Rasaa25P (1),84997,87224,Yes
SARCNT01.DLG,42,1,Sarcnt01 (42),64495,64590,No
SHOP03.DLG,42,3,Shop03 (37); Ftowbe (3); Poghm2 (2),15911,60999,No
SHOP6.DLG,42,4,Shop06 (27); Montap (11); Montar (3); Ftowbe (1),16032,16085,No
SHTH05.DLG,42,1,Shth05 (42),32294,32881,No
UDDROW06.DLG,42,1,Uddrow06 (42),52511,52567,No
DOGHMA.DLG,41,1,Doghma (41),29054,59374,No
DUSHAI.DLG,41,6,Dushai (24); Boanaste (10); Bvalyga (3); Bmazzy (2); Bmthief (1),21351,22136,No
ESCORT1.DLG,41,7,Escort1 (18); Dopmer (14); Aloraj (3); Ajantj (2); Branwj (2),16600,59467,No
ESCORT2.DLG,41,2,Escort2 (40); Dopmer (1),16601,59546,No
ESCORT3.DLG,41,1,Escort3 (41),16654,59547,No
ISAEA.DLG,41,1,Isaea (41),1761,46254,No
KGENIE1.DLG,41,3,Genie1 (35); Faldop (4); Ardrou (2),15469,15516,No
MADAM.DLG,41,2,Madam (30); Dopmer (11),16440,60561,No
OHRCLESS.DLG,41,1,Ohrcless (41),81662,81744,Yes
TRMTOW01.DLG,41,1,Trmtow01 (41),42804,42890,No
WAYLANE.DLG,41,1,Waylane (41),24850,98409,No
AERIEP.DLG,40,1,Aeriep (40),2305,61073,No
BODHIAMB.DLG,40,1,Bodhiamb (40),56479,99882,No
CLCOTI01.DLG,40,1,Clcoti01 (40),36164,36253,No
GORAPP1.DLG,40,1,Gorapp1 (40),62728,62796,No
HELLGEN.DLG,40,1,Hellgen (40),55055,55104,No
KFTOWN01.DLG,40,3,Kftown01 (38); Cantic (1); Faber (1),18758,24997,No
KYLIE1.DLG,40,1,Kylie1 (40),20026,61033,No
LLYNIS.DLG,40,1,Llynis (40),27043,27092,No
MAZZY1.DLG,40,1,Mazzy1 (40),24002,24043,No
MEMNIS.DLG,40,3,Gaal (17); Bodhi (13); Memnis (10),21834,21893,No
OHBGC01.DLG,40,1,Ohbgc01 (40),92933,101189,No
OHNDAXUS.DLG,40,1,Ohndaxus (40),88137,93390,Yes
TORGAL.DLG,40,3,Torgal (35); Montar (4); Keeper (1),88,24721,No
VAELAS.DLG,40,3,Vaelas (26); Vaelasa (13); Ajantd (1),2271,37430,No
WOLFW1.DLG,40,3,Gaal (17); Bodhi (13); Memnis (10),21834,21893,No
CORNEIL.DLG,39,1,Corneil (39),1669,59601,No
DOMT.DLG,39,1,Domt (39),63770,70871,No
ELELEV01.DLG,39,1,Elelev01 (39),47762,48045,No
NEVAZIAH.DLG,39,1,Nevaziah (39),33212,33273,No
OHRALOR.DLG,39,1,Ohralor (39),80353,87293,Yes
OHRAMPHI.DLG,39,1,Ohramphi (39),77828,99895,No
OHRTREYA.DLG,39,1,Ohrtreya (39),77558,86748,Yes
PRISONK1.DLG,39,1,Prisonk1 (39),29713,35550,No
SENBEH01.DLG,39,1,Senbeh01 (39),67478,70471,No
SHAGHO02.DLG,39,1,Shagho02 (39),41518,43847,No
TRGYP02.DLG,39,1,Trgyp02 (39),47053,102288,No
WELLYN.DLG,39,1,Wellyn (39),26997,27039,No
GREYHAND.DLG,38,1,Greyhand (38),57597,57645,No
HLSKULL.DLG,38,1,Hlskull (38),55977,56229,No
JADERMIN.DLG,38,3,Jadermin (33); Ichary (3); Cholga (2),10118,27425,No
JAREVIA.DLG,38,8,Jarevia (16); Ftownaz (8); Ftowbez (3); Chase (3); Bub (3),17706,18234,No
MURDBEGG.DLG,38,1,Murdbegg (38),26109,26431,No
OHDTRAGG.DLG,38,2,Ohdtragg (31); Ohdhamms (7),75161,75221,Yes
OHNLANNE.DLG,38,1,Ohnlanne (38),87979,93694,Yes
THEREL.DLG,38,9,Bvalyga (12); Bodhi (9); Bnalia (4); Bviconi (4); Bminsc (3),21471,22744,Yes
TRAX.DLG,38,1,Trax (38),501,540,No
UDSVIR04.DLG,38,1,Udsvir04 (38),50810,51626,No
VALYGARP.DLG,38,7,Valygarp (20); Binky (10); Games5 (3); Games4 (2); Mtownaz (1),17792,61169,No
VOICE.DLG,38,11,Bjan (9); Bviconi (5); Maria (5); Cerndj (5); Bedwin (4),9194,9255,Yes
GEMFAR02.DLG,37,1,Gemfar02 (37),31959,61933,No
GORLUM2.DLG,37,1,Gorlum2 (37),73744,73810,No
HIST1.DLG,37,1,Hist1 (37),16913,25267,No
MAEGUY01.DLG,37,1,Maeguy01 (37),51351,51438,No
PPINN01.DLG,37,1,Ppinn01 (37),47539,53647,No
SPPAIN.DLG,37,1,Sppain (37),33371,37640,No
SUELF10.DLG,37,1,Suelf10 (37),57751,61285,No
UDDOOR02.DLG,37,1,Uddoor02 (37),52320,62077,No
BELMIN.DLG,36,1,Belmin (36),25307,98416,No
BRUS2.DLG,36,1,Brus2 (36),41598,103153,No
CEDRUID1.DLG,36,1,Cedruid1 (36),9219,55502,No
DESSLO.DLG,36,2,Desslo (35); Bvalyga (1),17335,20646,No
DORNP.DLG,36,2,Dornp (24); Dorn25P (12),93045,102466,Yes
MADEEN.DLG,36,4,Madeen (20); Larze (10); Jenkal (5); Galile (1),18246,59358,No
OHBSTIRV.DLG,36,1,Ohbstirv (36),93916,100687,No
OHRDWS01.DLG,36,2,Ohrdws01 (34); Ohrcuddy (2),83030,99954,Yes
OHRSGMA1.DLG,36,1,Ohrsgma1 (36),82907,82958,No
PDWARF01.DLG,36,1,Pdwarf01 (36),37035,37072,No
THIEF7.DLG,36,1,Thief7 (36),21738,21773,No
UDDROW10.DLG,36,1,Uddrow10 (36),52698,52758,No
CHALCY01.DLG,35,1,Chalcy01 (35),72248,72320,No
FLAM5.DLG,35,3,Byoshim (31); Flam5 (3); Banomen (1),5032,14385,No
GORJE.DLG,35,1,Gorje (35),34178,34432,No
IGNATI.DLG,35,2,Ignati (19); Hendak (16),17068,17319,No
OHHKENO.DLG,35,1,Ohhkeno (35),82380,83308,Yes
RENFELD.DLG,35,2,Renfeld (33); Dezkiel (2),23777,24756,No
SHAGHO01.DLG,35,1,Shagho01 (35),33334,43856,No
SHTHASS1.DLG,35,1,Shthass1 (35),33000,33039,No
UDTRAP05.DLG,35,1,Udtrap05 (35),50621,50740,No
VALYG25J.DLG,35,1,Valyg25J (35),65918,92240,No
XZAR.DLG,35,8,Haerdaj (12); Torgal (10); Raelis (4); Xzar (2); Shop03 (2),102,17826,No
ANDRIS.DLG,34,1,Andris (34),23687,23759,No
BORINALL.DLG,34,1,Borinall (34),37492,103036,No
CIRCG1.DLG,34,1,Circg1 (34),14634,45505,No
DORN25P.DLG,34,2,Dorn25P (24); Dorn25A (10),91819,102466,Yes
DRAGBLAC.DLG,34,1,Dragblac (34),57926,57976,No
GORBAT1.DLG,34,1,Gorbat1 (34),63166,63213,No
GORTAN1.DLG,34,1,Gortan1 (34),63099,63211,No
IDRYAD2.DLG,34,3,Idryad2 (28); Golinv (5); Ftowba (1),11018,38660,No
JUGDAR01.DLG,34,1,Jugdar01 (34),33673,37365,No
MAZZY25A.DLG,34,1,Mazzy25A (34),65522,72464,No
NEERAP.DLG,34,2,Neerap (33); Neera25P (1),88476,88553,Yes
OHBMC.DLG,34,1,Ohbmc (34),74282,74315,No
OHBNAJIM.DLG,34,1,Ohbnajim (34),90429,102800,Yes
OHDSCROL.DLG,34,1,Ohdscrol (34),92037,92089,No
OHNQUAID.DLG,34,1,Ohnquaid (34),89491,89525,Yes
OHRBSSM2.DLG,34,2,Ohrbssm1 (29); Ohrbssm2 (5),79112,95144,No
OHRPHYLL.DLG,34,1,Ohrphyll (34),82868,94878,No
REEDLE.DLG,34,1,Reedle (34),25882,45827,No
SARPRO01.DLG,34,1,Sarpro01 (34),71254,71714,No
STEPHA.DLG,34,2,Bjaheir (32); Stepha (2),17934,20446,No
AMMERC03.DLG,33,1,Ammerc03 (33),66804,66886,No
ANOME25A.DLG,33,1,Anome25A (33),65127,65164,No
BAZPAT01.DLG,33,1,Bazpat01 (33),72396,73543,No
BDACT08.DLG,33,1,Bdact08 (33),41628,41709,No
BERINVAR.DLG,33,1,Berinvar (33),22976,48905,No
CRTHF03.DLG,33,1,Crthf03 (33),45361,45444,No
DHARLOT2.DLG,33,1,Dharlot2 (33),22666,49203,No
FAMIL1.DLG,33,1,Famil1 (33),58296,59477,No
FLAM4.DLG,33,3,Flam4 (26); Byoshim (6); Banomen (1),4667,9011,No
PIRMUR09.DLG,33,1,Pirmur09 (33),54092,54662,No
PPBODHI4.DLG,33,1,Ppbodhi4 (33),44867,51521,No
PPSIME.DLG,33,1,Ppsime (33),43917,61446,No
SAHIMP02.DLG,33,1,Sahimp02 (33),49635,49738,No
SARPROF.DLG,33,1,Sarpro01 (33),71254,71336,No
SLILMAT.DLG,33,1,Slilmat (33),28925,59851,No
SUELHAN.DLG,33,1,Suelhan (33),54319,59232,No
VOLO.DLG,33,6,Volo (12); Aran (11); Nalia (7); Keldor (1); Banomen (1),739,9877,No
AJANTI.DLG,32,1,Ajanti (32),421,17794,No
ARENTHIS.DLG,32,1,Arenthis (32),26676,26751,No
BAZMONK.DLG,32,1,Bazmonk (32),67632,72239,No
DEATH2.DLG,32,1,Death2 (32),22905,22965,No
FAMIL125.DLG,32,1,Famil125 (32),72066,73432,No
HIDDEN.DLG,32,1,Hidden (32),2064,34723,No
MELISS01.DLG,32,1,Meliss01 (32),67572,67614,No
NALBARG.DLG,32,1,Nalbarg (32),46207,46395,No
OHDTREAD.DLG,32,1,Ohdtread (32),75743,76140,Yes
OHHHAFSA.DLG,32,1,Ohhhafsa (32),83951,84673,Yes
OHNVICRO.DLG,32,1,Ohnvicro (32),89826,93777,Yes
OHRFIDDI.DLG,32,1,Ohrfiddi (32),82810,84987,Yes
SCLJYSS.DLG,32,1,Scljyss (32),28644,37832,No
TRSKIN01.DLG,32,1,Trskin01 (32),44621,44730,No
FTOWN5.DLG,31,3,Ftown5 (27); Enna (3); Flam5 (1),14350,14518,No
GALLOR.DLG,31,9,Cebeggar (14); Bviconi (7); Ftown5 (3); Ceglut (2); Gallor (1),1186,14379,Yes
GEMJEB01.DLG,31,1,Gemjeb01 (31),31902,37295,No
GRAEL.DLG,31,1,Grael (31),23360,23394,No
JAN25J.DLG,31,1,Jan25J (31),67751,99936,No
MOOK.DLG,31,2,Bentan (21); Mook (10),5703,39704,No
OHRDWRF2.DLG,31,2,Ohrdwrf2 (16); Ohrcuddy (15),82211,84603,Yes
POE.DLG,31,8,Bviconi (15); Poe (8); Cebeggar (3); Bkorgan (1); Bedwin (1),8640,9113,Yes
RGRWLF01.DLG,31,1,Rgrwlf01 (31),33505,41253,No
RNGWLF01.DLG,31,1,Rgrwlf01 (31),33505,41253,No
SAHIMP01.DLG,31,1,Sahimp01 (31),49634,49736,No
SAREV25J.DLG,31,2,Sarev25J (30); Bsarev25 (1),65872,98921,No
SETHLE.DLG,31,4,Sethle (16); Alanbl (7); Kaella (5); Mtowbas (3),9736,26536,No
STONEDL.DLG,31,7,Pace (15); Stonedl (7); Bhghoul4 (3); Bminsc (2); Minscp (2),22976,23336,No
AMFAHEED.DLG,30,1,Amfaheed (30),71662,73972,No
AMMAYOR.DLG,30,1,Ammayor (30),66807,73287,No
CLGLIN01.DLG,30,1,Clglin01 (30),35480,37867,No
DADROW16.DLG,30,1,Dadrow16 (30),57290,57342,No
DASLAVE1.DLG,30,1,Daslave1 (30),56819,56878,No
FATMAN.DLG,30,1,Fatman (30),26080,26402,No
GORALT1.DLG,30,1,Goralt1 (30),62386,62462,No
IDIOTP.DLG,30,1,Idiotp (30),40734,40763,No
IMNBOOK1.DLG,30,1,Imnbook1 (30),59379,59569,No
JAERTOF.DLG,30,4,Jaertof (23); Flambrid (4); Billia (2); Fuller3 (1),20524,20562,No
KORGA25J.DLG,30,1,Korga25J (30),67767,92236,No
KPGRD01.DLG,30,1,Kpgrd01 (30),40333,40374,No
KRUIN.DLG,30,1,Kruin (30),59814,102400,No
OHDBBRO.DLG,30,1,Ohdbbro (30),74709,100251,No
OHDBOLL.DLG,30,2,Ohdboll (29); Ohbbrodl (1),89882,92208,Yes
OHRHMONK.DLG,30,1,Ohrhmonk (30),77862,77891,No
OHROAZMA.DLG,30,1,Ohroazma (30),82964,83000,Yes
R158.DLG,30,5,R158 (11); Aerie (10); Quayle (7); Cederil (1); Messen (1),2235,16994,No
SARMAG01.DLG,30,1,Sarmag01 (30),64897,64940,No
SPHURG.DLG,30,2,Sphurg (29); Ignati (1),17088,33638,No
THUMB.DLG,30,2,Thumb (24); Baresh (6),23429,34724,No
TRAINER1.DLG,30,3,Trainer1 (21); Fahrin (8); Sailfin (1),14910,24999,No
TRAVIN.DLG,30,1,Travin (30),37497,37532,No
TRTHF01.DLG,30,1,Trthf01 (30),43557,43588,No
UDDROW08.DLG,30,1,Uddrow08 (30),52634,52685,No
UDDUER02.DLG,30,1,Udduer02 (30),50132,55924,No
VICON25A.DLG,30,1,Vicon25A (30),65707,65736,No
VICONIP.DLG,30,1,Viconip (30),33986,56622,No
AMSI.DLG,29,1,Amsi (29),26543,34310,No
AMSMITH.DLG,29,1,Amsmith (29),71945,71975,No
BANMER.DLG,29,1,Banmer (29),1937,8931,No
BINNKEEP.DLG,29,1,Binnkeep (29),28394,45791,No
CECHALLE.DLG,29,1,Cechalle (29),8680,103714,No
DETRAN.DLG,29,2,Bodhi (23); Detran (6),22087,22132,No
DOPMER.DLG,29,1,Dopmer (29),16585,16615,No
DRSHLO01.DLG,29,1,Drshlo01 (29),49123,49164,No
ELEARB02.DLG,29,1,Elearb02 (29),47852,47918,No
ELEARB03.DLG,29,1,Elearb03 (29),47876,47922,No
HURGISF.DLG,29,1,Hurgisf (29),38036,61245,No
KPCAPT02.DLG,29,1,Kpcapt02 (29),40172,40683,No
MAGE2.DLG,29,5,Games3 (12); Games4 (9); Dilak (3); Games5 (3); Mage2 (2),19289,19334,No
PROPHET2.DLG,29,1,Prophet2 (29),20759,36755,No
RILLPUZZ.DLG,29,1,Rillpuzz (29),57984,61276,No
SARTHF1.DLG,29,1,Sarthf1 (29),73411,73460,No
SHARA1.DLG,29,3,Bodhi (13); Sassar (11); Haegan (5),21895,21926,No
THIEF1.DLG,29,3,Thief1 (13); Mtownul (8); Dushai (8),21354,21384,No
UHINN02.DLG,29,2,Uhinn02 (28); Sirlot (1),17064,37958,No
UHMER01.DLG,29,1,Uhmer01 (29),32612,38050,No
BDPRST01.DLG,28,1,Bdprst01 (28),41418,41465,No
BEGGAR1.DLG,28,1,Beggar1 (28),14558,45560,No
BOUNTY.DLG,28,2,Bounty (27); Banomen (1),8705,8905,No
C6ELF1.DLG,28,1,C6Elf1 (28),52992,53136,No
CEBEGGAR.DLG,28,1,Cebeggar (28),8569,8672,No
FORTHE.DLG,28,1,Forthe (28),19741,19769,No
HGKAR01.DLG,28,1,Hgkar01 (28),65772,73164,No
HURGISR.DLG,28,1,Hurgisr (28),38032,38221,No
IDRYAD1.DLG,28,3,Idryad1 (24); Golinv (2); Ftowbe (2),11016,38656,No
IGOLEM2.DLG,28,2,Igolem2 (14); Coksmth (14),10783,38607,No
OHBNOSHU.DLG,28,3,Ohbnoshu (25); Ohbnoob (2); Ohbgc01 (1),101178,101216,No
OHDFIREJ.DLG,28,1,Ohdfirej (28),74750,91132,Yes
OHNSNAKE.DLG,28,1,Ohnsnake (28),89546,89597,Yes
OHRROLF.DLG,28,3,Ohrcuddy (15); Ohrrolf (12); Ohrdwrf1 (1),82129,84603,Yes
PIRMUR10.DLG,28,1,Pirmur10 (28),54621,54667,No
PLFARM05.DLG,28,1,Plfarm05 (28),37118,37674,No
PPSANIK.DLG,28,1,Ppsanik (28),53473,56587,No
SARMAT01.DLG,28,1,Sarmat01 (28),64694,64979,No
SUELLE.DLG,28,1,Suelle (28),54676,61183,No
TELANO.DLG,28,3,Telano (14); Jaheira (10); Jadermin (4),18470,18549,No
AMARCH02.DLG,27,1,Amarch02 (27),66723,73055,No
BDACT03.DLG,27,1,Bdact03 (27),40978,42111,No
BDBART01.DLG,27,1,Bdbart01 (27),40866,40893,No
C6ELHAN1.DLG,27,1,C6Elhan1 (27),55368,55939,No
C6ELHAN.DLG,27,1,C6Elhan1 (27),55368,55939,No
CENANNY.DLG,27,5,Cenanny (23); Beggba (1); Bentan (1); Boyba1 (1); Boyba2 (1),8939,55360,No
CHALDT01.DLG,27,1,Chaldt01 (27),72176,73341,No
COPGREET.DLG,27,1,Copgreet (27),25269,25296,No
CYDERM.DLG,27,4,Cyderm (17); Bkeldor (5); Banomen (4); Cenanny (1),8473,17544,No
FTOWBE.DLG,27,2,Ftowbe (26); Cederil (1),380,17974,No
GORCHR.DLG,27,1,Gorchr (27),62622,70865,No
GORIMP01.DLG,27,1,Gorimp01 (27),66511,71096,No
GORPOL1.DLG,27,1,Gorpol1 (27),62357,62726,No
KORGANP.DLG,27,2,Korganf (19); Korganp (8),2417,49750,No
KORSHAG.DLG,27,1,Korshag (27),2438,30602,No
KPCHAP01.DLG,27,1,Kpchap01 (27),40385,40419,No
OHHCULAK.DLG,27,1,Ohhculak (27),85563,85589,No
OHRSHANI.DLG,27,1,Ohrshani (27),82780,95126,Yes
PEONY.DLG,27,3,Peony (25); Ironm2 (1); Ironho (1),9206,30245,No
SANADAL.DLG,27,3,Rielev (22); Sanadal (4); Life1 (1),11605,11633,No
SLAVER4.DLG,27,5,Slaver4 (17); Shvert (4); Genie1 (3); Laola (2); Daerragh (1),10964,19914,No
SUELF13.DLG,27,1,Suelf13 (27),57824,57855,No
UDTRAP02.DLG,27,1,Udtrap02 (27),50538,50582,No
VALYG25A.DLG,27,1,Valyg25A (27),65660,65689,No
BARESH.DLG,26,2,Baresh (22); Anomenp (4),23413,23439,No
CROTHF02.DLG,26,1,Crothf02 (26),45379,45464,No
CTRAITOR.DLG,26,1,Ctraitor (26),23229,23265,No
DSHOP02.DLG,26,1,Dshop02 (26),9660,61149,No
EDWIN25J.DLG,26,1,Edwin25J (26),67879,92232,No
ELGEA.DLG,26,1,Elgea (26),26632,49906,No
GOLINV.DLG,26,5,Golinv (13); Bkeldor (6); Bjan (3); Bminsc (3); Bedwin (1),11344,11383,No
HAERDAP.DLG,26,1,Haerdap (26),178,61298,No
KSLAVE01.DLG,26,5,Kslave01 (18); Corson (5); Bardol (1); Gyllia (1); Connol (1),19461,23273,No
MTOWBA.DLG,26,7,Bernard (11); Mtowba (8); Jaheirap (2); Korgana (2); Edwin (1),1619,17968,Yes
NALDIRT.DLG,26,1,Naldirt (26),48846,48874,No
OHDDDOLR.DLG,26,2,Ohdddolr (24); Ohdbald (2),92102,92197,Yes
OHRCLOAK.DLG,26,1,Ohrcloak (26),77768,77817,Yes
OHRRAZVA.DLG,26,1,Ohrrazva (26),82552,82582,No
OHRROPM1.DLG,26,1,Ohrropm1 (26),79740,95159,No
SERVA2.DLG,26,5,Degard (13); Serva2 (8); Bcernd (2); Anomen (2); Bmazzy (1),7420,9087,No
SUELLI.DLG,26,2,Suelle (25); Suelli (1),54676,54721,No
TAMOKO3.DLG,26,5,Drenden (10); Corneil (7); Jaheira (6); Bernard (2); Tamoko3 (1),1665,1695,Yes
TBIMOENJ.DLG,26,1,Tbimoenj (26),39308,99874,No
TTIMOENJ.DLG,26,2,Tbimoenj (14); Ttimoenj (12),39308,99873,No
VALYGARX.DLG,26,4,Valygarx (11); Corson (10); Connol (3); Gyllia (2),19508,19558,No
YARIN.DLG,26,1,Yarin (26),25388,45663,No
YOSHIMOX.DLG,26,1,Yoshimox (26),49466,58771,No
AMELM01.DLG,25,1,Amelm01 (25),71710,71772,No
BELAND.DLG,25,2,Beland (22); Anomen (3),2516,9301,No
BENTAN.DLG,25,1,Bentan (25),5711,8941,No
C6FAKE.DLG,25,1,C6Elhan1 (25),55368,55496,No
C6HARP.DLG,25,1,C6Harp (25),53496,53529,No
CLARDI01.DLG,25,1,Clardi01 (25),35607,36259,No
DADUER1.DLG,25,1,Daduer1 (25),57224,57362,No
DBEGGAR.DLG,25,1,Dbeggar (25),22453,22478,No
DRYAD.DLG,25,6,Dryad (10); Bvalyga (5); Bnalia (4); Bjan (3); Byoshim (2),694,5041,No
EDWIN25A.DLG,25,1,Edwin25A (25),65214,65238,No
FIRTRL01.DLG,25,1,Firtrl01 (25),33570,37473,No
JAN25A.DLG,25,1,Jan25A (25),65345,65369,No
LUSETTE.DLG,25,3,Grael (20); Lusette (3); Baresh (2),23365,62084,No
OHDZARA.DLG,25,1,Ohdzara (25),89966,90171,No
OHRDMH2.DLG,25,3,Ohrdmh2 (14); Ohrblynn (9); Ohrdmh1 (2),80327,95155,No
OHRKILLI.DLG,25,2,Ohrkilli (24); Ohrfilli (1),82728,94882,No
OOGIEW.DLG,25,5,Idryad2 (10); Idryad3 (6); Idryad1 (5); Oogiew (3); Bjaheir (1),11431,20608,No
RALEO.DLG,25,6,Idryad3 (8); Bkeldor (6); Bviconi (4); Idryad1 (4); Bjaheir (2),4397,11430,Yes
REGINA.DLG,25,3,Regina (12); Aataqah (9); Bkeldor (4),11481,11507,No
RGRSTA01.DLG,25,1,Rgrsta01 (25),33465,33503,No
RUMORA.DLG,25,1,Rumora (25),32080,33958,No
SHOP02.DLG,25,4,Shop02 (15); Safanp (5); Shartp (4); Quaylp (1),15854,15907,No
SHOP2.DLG,25,4,Shop02 (15); Safanp (5); Shartp (4); Quaylp (1),15854,15907,No
SIRLOT.DLG,25,6,Messen (14); Jagalvar (5); Sirlot (2); Jayes (2); Jaheira (1),1371,17067,No
TRTHF02.DLG,25,1,Trthf02 (25),43874,44277,No
VAIL.DLG,25,4,Bviconi (14); Dorkus (7); Sewsw (3); Cefaldor (1),10543,10591,Yes
ARKUSH.DLG,24,1,Arkush (24),18355,18441,No
AVERY.DLG,24,1,Avery (24),3159,8745,No
BECKY.DLG,24,1,Becky (24),30861,30967,No
BEGGBA.DLG,24,2,Beggba (21); Banomen (3),8500,8940,No
