Speaker,DLGFile,Chapter,Priority,Notes
Bhghoul4,BHGHOUL4.DLG,Unassigned,3,
Bhghoul4,STONEC.DLG,Unassigned,3,
Bhghoul4,STONEDL.DLG,Unassigned,3,
Bhguard,BHGUARD.DLG,Unassigned,3,
Bhnalla,BHNALLA.DLG,Unassigned,3,
Bhoisig,BHOISIG.DLG,Unassigned,3,
Bill,BILL.DLG,Unassigned,3,
Bill,JAHEIRAJ.DLG,Unassigned,3,
Billia,BILLIA.DLG,Unassigned,3,
Billia,JAERTOF.DLG,Unassigned,3,
Billia,JAHEIRAJ.DLG,Unassigned,3,
Bimoen2,BIMOEN2.DLG,Unassigned,3,
Bimoen25,BIMOEN25.DLG,Unassigned,3,
Binkos,BINKOS.DLG,Unassigned,3,
Binkos,VALYGAR.DLG,Unassigned,3,
Binky,BINKY.DLG,Unassigned,3,
Binky,LAVOK.DLG,Unassigned,3,
Binky,VALYGARJ.DLG,Unassigned,3,
Binky,VALYGARP.DLG,Unassigned,3,
Binnkeep,BINNKEEP.DLG,Unassigned,3,
Bip,BIP.DLG,Unassigned,3,
Bip,BVALYGA.DLG,Unassigned,3,
Bjahei25,BJAHEI25.DLG,Unassigned,3,
Bjaheir,BJAHEIR.DLG,Unassigned,3,
Bjaheir,BLANE.DLG,Unassigned,3,
Bjaheir,BOYBA1.DLG,Unassigned,3,
Bjaheir,CATTAC.DLG,Unassigned,3,
Bjaheir,CHANTE2.DLG,Unassigned,3,
Bjaheir,CHHELP.DLG,Unassigned,3,
Bjaheir,CUTEKI.DLG,Unassigned,3,
Bjaheir,DENKOD.DLG,Unassigned,3,
Bjaheir,DHANIA.DLG,Unassigned,3,
Bjaheir,DREPPI3.DLG,Unassigned,3,
Bjaheir,EMITAR.DLG,Unassigned,3,
Bjaheir,FLAM10.DLG,Unassigned,3,
Bjaheir,FRIEND.DLG,Unassigned,3,
Bjaheir,GHAST3.DLG,Unassigned,3,
Bjaheir,GLART.DLG,Unassigned,3,
Bjaheir,HALFG6.DLG,Unassigned,3,
Bjaheir,KARAN.DLG,Unassigned,3,
Bjaheir,MALKAL.DLG,Unassigned,3,
Bjaheir,NOBL7.DLG,Unassigned,3,
Bjaheir,NOBWBAS.DLG,Unassigned,3,
Bjaheir,OOGIEW.DLG,Unassigned,3,
Bjaheir,PANGWA.DLG,Unassigned,3,
Bjaheir,PARDA.DLG,Unassigned,3,
Bjaheir,PHLYDI3.DLG,Unassigned,3,
Bjaheir,POE.DLG,Unassigned,3,
Bjaheir,POGHM10.DLG,Unassigned,3,
Bjaheir,POGHM9.DLG,Unassigned,3,
Bjaheir,RALEO.DLG,Unassigned,3,
Bjaheir,SEWERC.DLG,Unassigned,3,
Bjaheir,SLAVE.DLG,Unassigned,3,
Bjaheir,STEPHA.DLG,Unassigned,3,
Bjaheir,TRIADO.DLG,Unassigned,3,
Bjaheir,WARNER.DLG,Unassigned,3,
Bjaheir,WATCHM.DLG,Unassigned,3,
Bjan,BJAN.DLG,Unassigned,3,
Bjan,CALDO.DLG,Unassigned,3,
Bjan,DOPPSM.DLG,Unassigned,3,
Bjan,DRYAD.DLG,Unassigned,3,
Bjan,EMITAR.DLG,Unassigned,3,
Bjan,FARMWE.DLG,Unassigned,3,
Bjan,FLAM7.DLG,Unassigned,3,
Bjan,GNARL.DLG,Unassigned,3,
Bjan,GOLINV.DLG,Unassigned,3,
Bjan,HAIRTO.DLG,Unassigned,3,
Bjan,HOUSEN.DLG,Unassigned,3,
Bjan,HOUSG3.DLG,Unassigned,3,
Bjan,IRON4.DLG,Unassigned,3,
Bjan,IRON6.DLG,Unassigned,3,
Bjan,IRON8.DLG,Unassigned,3,
Bjan,IRONM3.DLG,Unassigned,3,
Bjan,ITHTYL.DLG,Unassigned,3,
Bjan,MERCHG.DLG,Unassigned,3,
Bjan,MTOB9.DLG,Unassigned,3,
Bjan,PROST6.DLG,Unassigned,3,
Bjan,READ2.DLG,Unassigned,3,
Bjan,STHIEF.DLG,Unassigned,3,
Bjan,VOICE.DLG,Unassigned,3,
Bjan25,BJAN25.DLG,Unassigned,3,
Bkeldo25,BKELDO25.DLG,Unassigned,3,
Bkeldor,BKELDOR.DLG,Unassigned,3,
Bkeldor,BORIN.DLG,Unassigned,3,
Bkeldor,CYDERM.DLG,Unassigned,3,
Bkeldor,DOOMSAY.DLG,Unassigned,3,
Bkeldor,DUSHAI.DLG,Unassigned,3,
Bkeldor,GALLOR.DLG,Unassigned,3,
Bkeldor,GARDEN.DLG,Unassigned,3,
Bkeldor,GOLINV.DLG,Unassigned,3,
Bkeldor,LAOLA.DLG,Unassigned,3,
Bkeldor,LENORE.DLG,Unassigned,3,
Bkeldor,MINEC4.DLG,Unassigned,3,
Bkeldor,MINERC.DLG,Unassigned,3,
Bkeldor,MONKEN.DLG,Unassigned,3,
Bkeldor,MRSHADE.DLG,Unassigned,3,
Bkeldor,MTOWF2.DLG,Unassigned,3,
Bkeldor,PIQUE.DLG,Unassigned,3,
Bkeldor,R179.DLG,Unassigned,3,
Bkeldor,RALEO.DLG,Unassigned,3,
Bkeldor,REGINA.DLG,Unassigned,3,
Bkeldor,SCOTTY.DLG,Unassigned,3,
Bkeldor,SEWERC.DLG,Unassigned,3,
Bkeldor,SHELTO.DLG,Unassigned,3,
Bkeldor,SHOPNYMP.DLG,Unassigned,3,
Bkeldor,SPANKY.DLG,Unassigned,3,
Bkeldor,SPENGIL.DLG,Unassigned,3,
Bkeldor,TORLOB.DLG,Unassigned,3,
Bkeldor,UTOR.DLG,Unassigned,3,
Bkeldor,WINSKI.DLG,Unassigned,3,
Bkorga25,BKORGA25.DLG,Unassigned,3,
Bkorgan,BKORGAN.DLG,Unassigned,3,
Bkorgan,CALDO.DLG,Unassigned,3,
Bkorgan,DHANIA.DLG,Unassigned,3,
Bkorgan,FLAM7.DLG,Unassigned,3,
Bkorgan,FTOWB4.DLG,Unassigned,3,
Bkorgan,LENORE.DLG,Unassigned,3,
Bkorgan,MALKAL.DLG,Unassigned,3,
Bkorgan,MTOB10.DLG,Unassigned,3,
Bkorgan,MTOWNAZ.DLG,Unassigned,3,
Bkorgan,NILA.DLG,Unassigned,3,
Bkorgan,NOBL10.DLG,Unassigned,3,
Bkorgan,PIQUE.DLG,Unassigned,3,
Bkorgan,POE.DLG,Unassigned,3,
Bkorgan,STHIEF.DLG,Unassigned,3,
Blane,BLANE.DLG,Unassigned,3,
Blane,JAHEIRAJ.DLG,Unassigned,3,
Blushc,BLUSHC.DLG,Unassigned,3,
Blushc,JAN2.DLG,Unassigned,3,
Blushc,JANP.DLG,Unassigned,3,
Blushc,MAJAN.DLG,Unassigned,3,
Blushc,VAELAG.DLG,Unassigned,3,
Bmazzy,BMAZZY.DLG,Unassigned,3,
Bmazzy,DIRLAI.DLG,Unassigned,3,
Bmazzy,DRUNK.DLG,Unassigned,3,
Bmazzy,DUSHAI.DLG,Unassigned,3,
Bmazzy,GHAST3.DLG,Unassigned,3,
Bmazzy,MAZZY5.DLG,Unassigned,3,
Bmazzy,MTOWNAZ.DLG,Unassigned,3,
Bmazzy,NIKLOS.DLG,Unassigned,3,
Bmazzy,PROST5.DLG,Unassigned,3,
Bmazzy,PROST7.DLG,Unassigned,3,
Bmazzy,READ4.DLG,Unassigned,3,
Bmazzy,SATOS.DLG,Unassigned,3,
Bmazzy,SERVA2.DLG,Unassigned,3,
Bmazzy,SEWERC.DLG,Unassigned,3,
Bmazzy,SHADOW.DLG,Unassigned,3,
Bmazzy,SLAVE4.DLG,Unassigned,3,
Bmazzy,SMITH.DLG,Unassigned,3,
Bmazzy,STONEDW.DLG,Unassigned,3,
Bmazzy,THEREL.DLG,Unassigned,3,
Bmazzy,WATCHM.DLG,Unassigned,3,
Bmazzy25,BMAZZY25.DLG,Unassigned,3,
Bmerch1,BMERCH1.DLG,Unassigned,3,
Bminsc,BMINSC.DLG,Unassigned,3,
Bminsc,DHANIA.DLG,Unassigned,3,
Bminsc,DRUIDC.DLG,Unassigned,3,
Bminsc,ELDOTD.DLG,Unassigned,3,
Bminsc,FARM4.DLG,Unassigned,3,
Bminsc,FLAM11.DLG,Unassigned,3,
Bminsc,FRIWEN.DLG,Unassigned,3,
Bminsc,GNARL.DLG,Unassigned,3,
Bminsc,GOLINV.DLG,Unassigned,3,
Bminsc,KEEPER.DLG,Unassigned,3,
Bminsc,KIVAN.DLG,Unassigned,3,
Bminsc,LENORE.DLG,Unassigned,3,
Bminsc,MESSED.DLG,Unassigned,3,
Bminsc,MONKD2.DLG,Unassigned,3,
Bminsc,PIQUE.DLG,Unassigned,3,
Bminsc,POE.DLG,Unassigned,3,
Bminsc,SATOS.DLG,Unassigned,3,
Bminsc,SHELTO.DLG,Unassigned,3,
Bminsc,SORCED.DLG,Unassigned,3,
Bminsc,STONEC.DLG,Unassigned,3,
Bminsc,STONED.DLG,Unassigned,3,
Bminsc,STONEDL.DLG,Unassigned,3,
Bminsc,THEREL.DLG,Unassigned,3,
Bminsc,UTOR.DLG,Unassigned,3,
Bminsc25,BMINSC25.DLG,Unassigned,3,
Bminsc25,BRASAA25.DLG,Unassigned,3,
Bmthief,BMTHIEF.DLG,Unassigned,3,
Bmthief,DUSHAI.DLG,Unassigned,3,
Bmthief,MTOWNUL.DLG,Unassigned,3,
Bmtown1,BMTOWN1.DLG,Unassigned,3,
Bmtown2,BMTOWN2.DLG,Unassigned,3,
Bmtown3,BMTOWN3.DLG,Unassigned,3,
Bmtown4,BMTOWN4.DLG,Unassigned,3,
Bmugg1,BMUGG1.DLG,Unassigned,3,
Bnalia,BNALIA.DLG,Unassigned,3,
Bnalia,CALDO.DLG,Unassigned,3,
Bnalia,DRYAD.DLG,Unassigned,3,
Bnalia,FLAMEN.DLG,Unassigned,3,
Bnalia,KRUMM.DLG,Unassigned,3,
Bnalia,LARZE.DLG,Unassigned,3,
Bnalia,MCOOK3.DLG,Unassigned,3,
Bnalia,TETHTO.DLG,Unassigned,3,
Bnalia,THEREL.DLG,Unassigned,3,
Bnalia,WINSKI.DLG,Unassigned,3,
Bnalia25,BNALIA25.DLG,Unassigned,3,
Bneera,BNEERA.DLG,Unassigned,3,
Bneera25,BNEERA25.DLG,Unassigned,3,
Bnoble1,BNOBLE1.DLG,Unassigned,3,
Bnoble2,BNOBLE2.DLG,Unassigned,3,
Boanaste,BOANASTE.DLG,Unassigned,3,
Boanaste,DUSHAI.DLG,Unassigned,3,
Bob,BOB.DLG,Unassigned,3,
Bob,JAHEIRAJ.DLG,Unassigned,3,
Bodfgt03,BODFGT03.DLG,Unassigned,3,
Bodhi,BODHI.DLG,Unassigned,3,
Bodhi,CULT2.DLG,Unassigned,3,
Bodhi,DETRAN.DLG,Unassigned,3,
Bodhi,DORNJ.DLG,Unassigned,3,
Bodhi,HEXXATJ.DLG,Unassigned,3,
Bodhi,MEMNIS.DLG,Unassigned,3,
Bodhi,MTOWNUL.DLG,Unassigned,3,
Bodhi,RASAADJ.DLG,Unassigned,3,
Bodhi,SHARA1.DLG,Unassigned,3,
Bodhi,THEREL.DLG,Unassigned,3,
Bodhi,WOLFW1.DLG,Unassigned,3,
Bodhi,WOLFW2.DLG,Unassigned,3,
Bodhi,WOLFW3.DLG,Unassigned,3,
Bodhi2,BODHI2.DLG,Unassigned,3,
Bodhiamb,BODHIAMB.DLG,Unassigned,3,
Bodvam01,BODVAM01.DLG,Unassigned,3,
Bodvam02,BODVAM02.DLG,Unassigned,3,
Bodyg1,BODYG1.DLG,Unassigned,3,
Bodyg2,BODYG2.DLG,Unassigned,3,
Bogre1,BOGRE1.DLG,Unassigned,3,
Booter,BOOTER.DLG,Unassigned,3,
Booter02,BOOTER02.DLG,Unassigned,3,
Borda,BORDA.DLG,Unassigned,3,
Borda,TOLGER.DLG,Unassigned,3,
Borin,BORIN.DLG,Unassigned,3,
Borin,RIELEV.DLG,Unassigned,3,
Borinall,BORINALL.DLG,Unassigned,3,
Botsmith,BOTSMITH.DLG,Unassigned,3,
Botsmith,WSMITH01.DLG,Unassigned,3,
Bounha,BOUNHA.DLG,Unassigned,3,
Bounha,OHNWMC13.DLG,Unassigned,3,
Bounty,BOUNTY.DLG,Unassigned,3,
Bounty,BVICONI.DLG,Unassigned,3,
Bounty,CEDERIL.DLG,Unassigned,3,
Bounty,CEIGAROL.DLG,Unassigned,3,
Bounty,CERNDJ.DLG,Unassigned,3,
Bounty,PRISS.DLG,Unassigned,3,
Boy1,BOY1.DLG,Unassigned,3,
Boy1,MIRIAN.DLG,Unassigned,3,
Boy1,SAILDAN.DLG,Unassigned,3,
Boy3,BOY3.DLG,Unassigned,3,
Boyba1,BOYBA1.DLG,Unassigned,3,
Boyba1,CENANNY.DLG,Unassigned,3,
Boyba2,BOYBA2.DLG,Unassigned,3,
Boyba2,CENANNY.DLG,Unassigned,3,
Boyba3,BOYBA3.DLG,Unassigned,3,
Boyba3,BVICONI.DLG,Unassigned,3,
Boyba3,CERNDJ.DLG,Unassigned,3,
Boybe1,BOYBE1.DLG,Unassigned,3,
Boybe1,CERNDJ.DLG,Unassigned,3,
Boybe2,BOYBE2.DLG,Unassigned,3,
Boybe2,CERNDJ.DLG,Unassigned,3,
Boybe2,CERNDP.DLG,Unassigned,3,
Bprost1,BPROST1.DLG,Unassigned,3,
Bprost2,BPROST2.DLG,Unassigned,3,
Bran,BRAN.DLG,Unassigned,3,
Bran,DRENDEN.DLG,Unassigned,3,
Branwj,BRANWJ.DLG,Unassigned,3,
Branwj,ESCORT1.DLG,Unassigned,3,
Branwp,BRANWP.DLG,Unassigned,3,
Branwp,ESCORT1.DLG,Unassigned,3,
Branwp,GENIE2.DLG,Unassigned,3,
Branwp,JAHEIRAP.DLG,Unassigned,3,
Branwp,KGENIE2.DLG,Unassigned,3,
Branwp,NOBLE2.DLG,Unassigned,3,
Brasaa25,BRASAA25.DLG,Unassigned,3,
Brasaa25,BRASAAD.DLG,Unassigned,3,
Brasaad,BRASAAD.DLG,Unassigned,3,
Brat1,BRAT1.DLG,Unassigned,3,
Brat1,ENNA.DLG,Unassigned,3,
Brat1,ERLIN.DLG,Unassigned,3,
Brat1,SAILDAN.DLG,Unassigned,3,
Brat1,SAILJOS.DLG,Unassigned,3,
Brat2,BRAT2.DLG,Unassigned,3,
Brat2,SAILJOS.DLG,Unassigned,3,
Brat3,BRAT3.DLG,Unassigned,3,
Breg01,BREG01.DLG,Unassigned,3,
Bregg,BREGG.DLG,Unassigned,3,
Brelm,BRELM.DLG,Unassigned,3,
Brus,BRUS.DLG,Unassigned,3,
Brus2,BRUS2.DLG,Unassigned,3,
Brus2,NALIA.DLG,Unassigned,3,
Brus3,BRUS3.DLG,Unassigned,3,
Bsailor1,BSAILOR1.DLG,Unassigned,3,
Bsailor2,BSAILOR2.DLG,Unassigned,3,
Bsailor3,BSAILOR3.DLG,Unassigned,3,
Bsarev25,BSAREV25.DLG,Unassigned,3,
Bsarev25,SAREV25J.DLG,Unassigned,3,
Bshop01,BSHOP01.DLG,Unassigned,3,
Bshop02,BSHOP02.DLG,Unassigned,3,
Bub,BUB.DLG,Unassigned,3,
Bub,JAREVIA.DLG,Unassigned,3,
Bub,VALYGAR.DLG,Unassigned,3,
Bubbles,BUBBLES.DLG,Unassigned,3,
Bullrush,BULLRUSH.DLG,Unassigned,3,
Bullrush,EXCULT2.DLG,Unassigned,3,
Bunkin,BUNKIN.DLG,Unassigned,3,
Burch1,BURCH1.DLG,Unassigned,3,
Burch2,BURCH2.DLG,Unassigned,3,
Bvalyg25,BVALYG25.DLG,Unassigned,3,
Bvalyga,BVALYGA.DLG,Unassigned,3,
Bvalyga,CUTEKI.DLG,Unassigned,3,
Bvalyga,DESSLO.DLG,Unassigned,3,
Bvalyga,DRYAD.DLG,Unassigned,3,
Bvalyga,DUSHAI.DLG,Unassigned,3,
Bvalyga,FARMWE.DLG,Unassigned,3,
Bvalyga,GALLOR.DLG,Unassigned,3,
Bvalyga,KAGAIJ.DLG,Unassigned,3,
Bvalyga,MTOB2.DLG,Unassigned,3,
Bvalyga,NARRAT.DLG,Unassigned,3,
Bvalyga,THEREL.DLG,Unassigned,3,
Bvalyga,WARWLF.DLG,Unassigned,3,
Bvalyga,ZEKE.DLG,Unassigned,3,
Bvicon25,BVICON25.DLG,Unassigned,3,
Bvicon25,OHBNPC01.DLG,Unassigned,3,
Bviconi,BVICONI.DLG,Unassigned,3,
Bviconi,CAILAN.DLG,Unassigned,3,
Bviconi,CHHELP.DLG,Unassigned,3,
Bviconi,DARRYL.DLG,Unassigned,3,
Bviconi,DHANIA.DLG,Unassigned,3,
Bviconi,DIRLAI.DLG,Unassigned,3,
Bviconi,DRUID2.DLG,Unassigned,3,
Bviconi,EMERS2.DLG,Unassigned,3,
Bviconi,FAIZAH.DLG,Unassigned,3,
Bviconi,FFSLEEP.DLG,Unassigned,3,
Bviconi,FLAM10.DLG,Unassigned,3,
Bviconi,FLAMEN.DLG,Unassigned,3,
Bviconi,FORESH.DLG,Unassigned,3,
Bviconi,FRIEND.DLG,Unassigned,3,
Bviconi,FTOWB5.DLG,Unassigned,3,
Bviconi,FTOWB6.DLG,Unassigned,3,
Bviconi,FTOWB7.DLG,Unassigned,3,
Bviconi,FTOWBAS.DLG,Unassigned,3,
Bviconi,GALLOR.DLG,Unassigned,3,
Bviconi,GIRBA1.DLG,Unassigned,3,
Bviconi,GIRBA2.DLG,Unassigned,3,
Bviconi,GIRBA3.DLG,Unassigned,3,
Bviconi,GORIOD.DLG,Unassigned,3,
Bviconi,HEXXA25A.DLG,Unassigned,3,
Bviconi,KAELLA.DLG,Unassigned,3,
Bviconi,KARAN1.DLG,Unassigned,3,
Bviconi,KARAN3.DLG,Unassigned,3,
Bviconi,KERRAC.DLG,Unassigned,3,
Bviconi,LENORE.DLG,Unassigned,3,
Bviconi,LUSSEL.DLG,Unassigned,3,
Bviconi,MTOWBEZ.DLG,Unassigned,3,
Bviconi,NOBLBAS.DLG,Unassigned,3,
Bviconi,NOBWBAS.DLG,Unassigned,3,
Bviconi,NOBWBAZ.DLG,Unassigned,3,
Bviconi,PARDA1.DLG,Unassigned,3,
Bviconi,POE.DLG,Unassigned,3,
Bviconi,PUMBER2.DLG,Unassigned,3,
Bviconi,RALEO.DLG,Unassigned,3,
Bviconi,RANCE.DLG,Unassigned,3,
Bviconi,REVEN3.DLG,Unassigned,3,
Bviconi,SEWERC.DLG,Unassigned,3,
Bviconi,SLAVFREE.DLG,Unassigned,3,
Bviconi,SLAVLEAD.DLG,Unassigned,3,
Bviconi,SLAVTELL.DLG,Unassigned,3,
Bviconi,SORREL.DLG,Unassigned,3,
Bviconi,TEST2.DLG,Unassigned,3,
Bviconi,THEREL.DLG,Unassigned,3,
Bviconi,TOWNCR.DLG,Unassigned,3,
Bviconi,VAIL.DLG,Unassigned,3,
Bviconi,VOICE.DLG,Unassigned,3,
Bviconi,WASLEEP.DLG,Unassigned,3,
Bviconi,WILLIB.DLG,Unassigned,3,
Bwench,BWENCH.DLG,Unassigned,3,
Bylanna,BYLANNA.DLG,Unassigned,3,
Byoshim,BYOSHIM.DLG,Unassigned,3,
Byoshim,CALDO.DLG,Unassigned,3,
Byoshim,DRUNK.DLG,Unassigned,3,
Byoshim,DRYAD.DLG,Unassigned,3,
Byoshim,FLAM4.DLG,Unassigned,3,
Byoshim,FLAM5.DLG,Unassigned,3,
Byoshim,GNOLL5.DLG,Unassigned,3,
Byoshim,HOBGO5.DLG,Unassigned,3,
Byoshim,HOUSG4.DLG,Unassigned,3,
Byoshim,IRON3.DLG,Unassigned,3,
Byoshim,IRON5.DLG,Unassigned,3,
Byoshim,IRON6.DLG,Unassigned,3,
Byoshim,IRON9.DLG,Unassigned,3,
Byoshim,ITHTYL.DLG,Unassigned,3,
Byoshim,KRUMM.DLG,Unassigned,3,
Byoshim,LOBAR.DLG,Unassigned,3,
Byoshim,LOWLGU.DLG,Unassigned,3,
Byoshim,MCOOK2.DLG,Unassigned,3,
Byoshim,MESSED.DLG,Unassigned,3,
Byoshim,MINEC5.DLG,Unassigned,3,
Byoshim,NHUNTC.DLG,Unassigned,3,
Byoshim,NOBL6.DLG,Unassigned,3,
Byoshim,OGRED.DLG,Unassigned,3,
Byoshim,OLIVIA.DLG,Unassigned,3,
Byoshim,PUMBER2.DLG,Unassigned,3,
Byoshim,SAMUEL.DLG,Unassigned,3,
Byoshim,SERVAN.DLG,Unassigned,3,
Byoshim,SORCED.DLG,Unassigned,3,
Byoshim,VOICE.DLG,Unassigned,3,
Byoshim,WARRID.DLG,Unassigned,3,
Byoshim,WINSKI.DLG,Unassigned,3,
Bystand1,BYSTAND1.DLG,Unassigned,3,
Bystand2,BYSTAND2.DLG,Unassigned,3,
Bystand2,OHNMOLZA.DLG,Unassigned,3,
Bystand2,SVLAST.DLG,Unassigned,3,
Bystand2,VELVET.DLG,Unassigned,3,
C6Arkan,C6ARKAN.DLG,Unassigned,3,
C6Bguard,C6BGUARD.DLG,Unassigned,3,
C6Bodhi,C6BODHI.DLG,Unassigned,3,
C6Bruen1,C6BRUEN1.DLG,Unassigned,3,
C6Catti1,C6CATTI1.DLG,Unassigned,3,
C6Cler1,C6CLER1.DLG,Unassigned,3,
C6Cler2,C6CLER2.DLG,Unassigned,3,
C6Cler3,C6CLER3.DLG,Unassigned,3,
C6Coran,C6CORAN.DLG,Unassigned,3,
C6Drizz1,C6DRIZZ1.DLG,Unassigned,3,
C6Drizz2,C6DRIZZ2.DLG,Unassigned,3,
C6Elf1,C6ELF1.DLG,Unassigned,3,
C6Elfgen,C6ELFGEN.DLG,Unassigned,3,
C6Elhan1,C6ELHAN.DLG,Unassigned,3,
C6Elhan1,C6ELHAN1.DLG,Unassigned,3,
C6Elhan1,C6FAKE.DLG,Unassigned,3,
C6Elhan2,C6ELHAN2.DLG,Unassigned,3,
C6Elhan2,SOBELHAN.DLG,Unassigned,3,
C6Elvenw,C6ELVENW.DLG,Unassigned,3,
C6Eric,C6ERIC.DLG,Unassigned,3,
C6Eric,C6WILL.DLG,Unassigned,3,
C6Gen,C6GEN.DLG,Unassigned,3,
C6Gener,C6GENER.DLG,Unassigned,3,
C6Harp,C6HARP.DLG,Unassigned,3,
C6Lanf,C6LANF.DLG,Unassigned,3,
C6Mess,C6MESS.DLG,Unassigned,3,
C6Regis1,C6REGIS1.DLG,Unassigned,3,
C6Safa,C6SAFA.DLG,Unassigned,3,
C6Squire,C6SQUIRE.DLG,Unassigned,3,
C6Warsa1,C6WARSA1.DLG,Unassigned,3,
C6Warsa2,C6WARSA2.DLG,Unassigned,3,
C6Wulf1,C6WULF1.DLG,Unassigned,3,
Caedmo,CAEDMO.DLG,Unassigned,3,
Caedmo,IGOLEM1.DLG,Unassigned,3,
Caehan,CAEHAN.DLG,Unassigned,3,
Calaha,CALAHA.DLG,Unassigned,3,
Caldo,CALDO.DLG,Unassigned,3,
Caldo,RIELEV.DLG,Unassigned,3,
Camitis,CAMITIS.DLG,Unassigned,3,
Cantic,CANTIC.DLG,Unassigned,3,
Cantic,KFTOWN01.DLG,Unassigned,3,
Carbos,CARBOS.DLG,Unassigned,3,
Cattac,CATTAC.DLG,Unassigned,3,
Cattac,HAERDA.DLG,Unassigned,3,
Cattac,HAERDAJ.DLG,Unassigned,3,
Cauter,CAUTER.DLG,Unassigned,3,
Cauter,RANGER1.DLG,Unassigned,3,
Cauter,VALRAN01.DLG,Unassigned,3,
Cebeggar,CEBEGGAR.DLG,Unassigned,3,
Cebeggar,GALLOR.DLG,Unassigned,3,
Cebeggar,POE.DLG,Unassigned,3,
Cechalle,CECHALLE.DLG,Unassigned,3,
Cechalle,GHAST3.DLG,Unassigned,3,
Cechalle,SCOTTY.DLG,Unassigned,3,
Cechalle,SPANKY.DLG,Unassigned,3,
Cechalle,WILLIB.DLG,Unassigned,3,
Cedelich,CEDELICH.DLG,Unassigned,3,
Cedelich,MTOWBA.DLG,Unassigned,3,
Cederil,CEDERIL.DLG,Unassigned,3,
Cederil,DRUIDC.DLG,Unassigned,3,
Cederil,DRUNK.DLG,Unassigned,3,
Cederil,FARM3.DLG,Unassigned,3,
Cederil,FARM5.DLG,Unassigned,3,
Cederil,FLAM7.DLG,Unassigned,3,
Cederil,FLAMBG.DLG,Unassigned,3,
Cederil,FLAMEN.DLG,Unassigned,3,
Cederil,FTOBE2.DLG,Unassigned,3,
Cederil,FTOBE3.DLG,Unassigned,3,
Cederil,FTOBE4.DLG,Unassigned,3,
Cederil,FTOBE6.DLG,Unassigned,3,
Cederil,FTOBE7.DLG,Unassigned,3,
Cederil,FTOBE8.DLG,Unassigned,3,
Cederil,FTOBE9.DLG,Unassigned,3,
Cederil,FTOWB4.DLG,Unassigned,3,
Cederil,FTOWB6.DLG,Unassigned,3,
Cederil,FTOWBE.DLG,Unassigned,3,
Cederil,R158.DLG,Unassigned,3,
Cederil,TORLOB.DLG,Unassigned,3,
Cederil,TOWNCR.DLG,Unassigned,3,
Cederil,TRAVE2.DLG,Unassigned,3,
Cederil,TRAVEL.DLG,Unassigned,3,
Cedruid1,CEDRUID1.DLG,Unassigned,3,
Cedruid1,HOUSG1.DLG,Unassigned,3,
Cedruid1,HOUSG2.DLG,Unassigned,3,
Cedruid1,MESSED.DLG,Unassigned,3,
Cedruid1,SORCED.DLG,Unassigned,3,
Cedruid1,VOICE.DLG,Unassigned,3,
Cedruid2,CEDRUID2.DLG,Unassigned,3,
Cedruid2,DENKOD.DLG,Unassigned,3,
Cedruid2,VOICE.DLG,Unassigned,3,
Cefald04,CEFALD04.DLG,Unassigned,3,
Cefaldor,CEFALDOR.DLG,Unassigned,3,
Cefaldor,DIRLAI.DLG,Unassigned,3,
Cefaldor,DRUID2.DLG,Unassigned,3,
Cefaldor,ELMIN5.DLG,Unassigned,3,
Cefaldor,KARAN1.DLG,Unassigned,3,
Cefaldor,LAUDEN.DLG,Unassigned,3,
Cefaldor,LOBAR.DLG,Unassigned,3,
Cefaldor,VAIL.DLG,Unassigned,3,
Cefgt03,CEFGT03.DLG,Unassigned,3,
Cefgt04,CEFGT04.DLG,Unassigned,3,
Ceglut,CEGLUT.DLG,Unassigned,3,
Ceglut,FRIEND.DLG,Unassigned,3,
Ceglut,FRIWEN.DLG,Unassigned,3,
Ceglut,GALLOR.DLG,Unassigned,3,
Ceglut,GIRBA1.DLG,Unassigned,3,
Ceglut,GIRBA2.DLG,Unassigned,3,
Ceglut,GIRBA3.DLG,Unassigned,3,
Ceglut,GIRLBE.DLG,Unassigned,3,
Ceglut,GUARCA.DLG,Unassigned,3,
Ceglut,MONKD2.DLG,Unassigned,3,
Ceglut,WAITER.DLG,Unassigned,3,
Ceglut,WILTON.DLG,Unassigned,3,
Ceglut,YAGO.DLG,Unassigned,3,
Ceigarol,CEIGAROL.DLG,Unassigned,3,
Ceigarol,LENORE.DLG,Unassigned,3,
Ceigarol,MTOB10.DLG,Unassigned,3,
Ceigarol,MTOB7.DLG,Unassigned,3,
Ceigarol,MTOB8.DLG,Unassigned,3,
Ceigarol,MTOB9.DLG,Unassigned,3,
Ceigarol,PIQUE.DLG,Unassigned,3,
Ceigarol,SHELTO.DLG,Unassigned,3,
Ceigarol,UTOR.DLG,Unassigned,3,
Celich,CELICH.DLG,Unassigned,3,
Celich,FLAM6.DLG,Unassigned,3,
Celogan,CELOGAN.DLG,Unassigned,3,
Celogan,HALFG2.DLG,Unassigned,3,
Celogan,HALFG3.DLG,Unassigned,3,
Celogan,HOUSG4.DLG,Unassigned,3,
Celogan,IRON14.DLG,Unassigned,3,
Celogan,IRONM2.DLG,Unassigned,3,
Celogan,IRONM3.DLG,Unassigned,3,
Celogan,MERCHG.DLG,Unassigned,3,
Celogan,NOBL5.DLG,Unassigned,3,
Celogan,NOBL6.DLG,Unassigned,3,
